pr_auc,roc_auc,model,resampler,dataset
0.14731925885937966,0.7772493419478343,Elastic_L70_C10,No Resampling,mixed_realistic_w4_n15_d30.csv
0.038820535945575406,0.5826405993431855,Elastic_L70_C10,Manual Upsampling,noisy_overlap_w2_n20_d0.csv
0.0389932624082317,0.5905685550082101,Elastic_L70_C10,SMOTE,noisy_overlap_w2_n20_d0.csv
0.039431104319808084,0.5901837027914614,Elastic_L70_C10,ADASYN,noisy_overlap_w2_n20_d0.csv
0.03371571859196794,0.5767395320197044,Elastic_L70_C10,Borderline SMOTE,noisy_overlap_w2_n20_d0.csv
0.0389932624082317,0.5905685550082101,Elastic_L70_C10,SMOTETomek,noisy_overlap_w2_n20_d0.csv
0.03917294452730606,0.5914408866995073,Elastic_L70_C10,SMOTEENN,noisy_overlap_w2_n20_d0.csv
0.038826717104993275,0.5957512315270936,Elastic_L70_C10,Random Undersample,noisy_overlap_w2_n20_d0.csv
0.038497588755756235,0.5672208538587848,Elastic_L70_C10,Cluster Centroids,noisy_overlap_w2_n20_d0.csv
0.039953429005368093,0.5845135467980296,Elastic_L70_C10,No Resampling,noisy_overlap_w2_n20_d0.csv
0.6835139262275981,0.930002822466836,Elastic_L100_C10,Manual Upsampling,baseline_easy_w5_n5_d0.csv
0.6695588028513086,0.9279657377069297,Elastic_L100_C10,SMOTE,baseline_easy_w5_n5_d0.csv
0.514230375342542,0.9026739805372506,Elastic_L100_C10,ADASYN,baseline_easy_w5_n5_d0.csv
0.5108226079440634,0.9143197241345458,Elastic_L100_C10,Borderline SMOTE,baseline_easy_w5_n5_d0.csv
0.6692945084424289,0.9279902808968081,Elastic_L100_C10,SMOTETomek,baseline_easy_w5_n5_d0.csv
0.6661520516893155,0.9286406754285853,Elastic_L100_C10,SMOTEENN,baseline_easy_w5_n5_d0.csv
0.7112234312098774,0.9300150940617752,Elastic_L100_C10,Random Undersample,baseline_easy_w5_n5_d0.csv
0.6474968831785556,0.9235111487440023,Elastic_L100_C10,Cluster Centroids,baseline_easy_w5_n5_d0.csv
