pr_auc,roc_auc,model,resampler,dataset,baseline_pr_auc,beats_baseline
0.1502159872026452,0.7678720985881791,Elastic_L70_C10,Borderline SMOTE,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.14166986003938614,0.7724485522852357,Elastic_L70_C10,SMOTETomek,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.14142362623131305,0.7725083752093802,Elastic_L70_C10,SMOTEENN,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.1324555947195721,0.773151471643934,Elastic_L70_C10,Random Undersample,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.1606529744706744,0.7685899736779134,Elastic_L70_C10,Cluster Centroids,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.14737080437418598,0.777309164871979,Elastic_L70_C10,No Resampling,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.03882332350306372,0.5826662561576355,Elastic_L70_C10,Manual Upsampling,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03898139125881471,0.5905942118226601,Elastic_L70_C10,SMOTE,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03942721468180373,0.5901580459770115,Elastic_L70_C10,ADASYN,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.0337141496257271,0.5767395320197044,Elastic_L70_C10,Borderline SMOTE,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03898139125881471,0.5905942118226601,Elastic_L70_C10,SMOTETomek,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03917624029791425,0.5914665435139572,Elastic_L70_C10,SMOTEENN,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03886072799311214,0.595930829228243,Elastic_L70_C10,Random Undersample,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.038569035956162914,0.5675800492610837,Elastic_L70_C10,Cluster Centroids,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.03997429413736396,0.5845648604269293,Elastic_L70_C10,No Resampling,noisy_overlap_w2_n20_d0.csv,0.0256,True
0.6837711772764047,0.930064180441532,Elastic_L100_C10,Manual Upsampling,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6690344215228973,0.9279166513271729,Elastic_L100_C10,SMOTE,baseline_easy_w5_n5_d0.csv,0.0552,True
0.5162451248600314,0.9028335112714598,Elastic_L100_C10,ADASYN,baseline_easy_w5_n5_d0.csv,0.0552,True
0.5096571523206073,0.9142215513750322,Elastic_L100_C10,Borderline SMOTE,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6689201660502361,0.9279411945170515,Elastic_L100_C10,SMOTETomek,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6663164981546973,0.9286897618083422,Elastic_L100_C10,SMOTEENN,baseline_easy_w5_n5_d0.csv,0.0552,True
0.7117166231881178,0.9303096123403158,Elastic_L100_C10,Random Undersample,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6481072448440444,0.923805667022543,Elastic_L100_C10,Cluster Centroids,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6864981824175899,0.9309231920872756,Elastic_L100_C10,No Resampling,baseline_easy_w5_n5_d0.csv,0.0552,True
0.14979243006541135,0.7973202170963365,Elastic_L100_C10,Manual Upsampling,high_drift_w3_n10_d60.csv,0.0356,True
0.145829986653451,0.804349464797226,Elastic_L100_C10,SMOTE,high_drift_w3_n10_d60.csv,0.0356,True
0.13933169488377306,0.7992047339062265,Elastic_L100_C10,ADASYN,high_drift_w3_n10_d60.csv,0.0356,True
0.17209586786597078,0.8027476255088195,Elastic_L100_C10,Borderline SMOTE,high_drift_w3_n10_d60.csv,0.0356,True
0.145829986653451,0.804349464797226,Elastic_L100_C10,SMOTETomek,high_drift_w3_n10_d60.csv,0.0356,True
0.13629537764752567,0.8027287803407207,Elastic_L100_C10,SMOTEENN,high_drift_w3_n10_d60.csv,0.0356,True
